RAH-CountryIso,RAH-CountryName,Forecast_Time,Forecast_InitTime_Views,main_mean,main_mean-Rank,main_mean-Rank-Norm,main_dich,main_dich-Rank,main_dich-Rank-Norm,Forecast_InitTime_BSE-CF,anyviolence,anyviolence-Rank,anyviolence-Rank-Norm,armedconf,armedconf-Rank,armedconf-Rank-Norm,lnbest_pc,lnbest_pc-Rank,lnbest_pc-Rank-Norm,Forecast_InitTime_CAST,battles_forecast,battles_forecast-Rank,battles_forecast-Rank-Norm,erv_forecast,erv_forecast-Rank,erv_forecast-Rank-Norm,vac_forecast,vac_forecast-Rank,vac_forecast-Rank-Norm,total_forecast,total_forecast-Rank,total_forecast-Rank-Norm,Mean-Rank,Mean-Rank-Norm,Mean-Num-Values,main_mean-KendallTauRank,main_mean-KendallTauRankpVal,lnbest_pc-KendallTauRank,lnbest_pc-KendallTauRankpVal,total_forecast-KendallTauRank,total_forecast-KendallTauRankpVal,source,createdOn,createdBy
SYR,Syria,2024-08-01,2024-07-01,179.2526,9.0,0.9528795811518325,0.9726,9.0,0.9158878504672897,,,,,,,,,,,,,,,,,,,,,,,,9.0,0.9343837158095611,2,1.0,4.114158325311742e-49,,,,,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0, ml.CRD_CAST_Admin1",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Rank
ISR,Israel,2024-08-01,2024-07-01,3614.0226,1.0,0.9947643979057592,0.9999,1.0,0.9906542056074766,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.992709301756618,2,1.0,4.114158325311742e-49,,,,,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0, ml.CRD_CAST_Admin1",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Rank
PSE,Occupied Palestinian territory,2025-05-01,,,,,,,,2024-08-01,0.9197047452054528,28.0,0.8362573099415205,0.9105968105445306,14.0,0.9181286549707602,9.707796123764584,2.0,0.9883040935672515,,,,,,,,,,,,,,15.0,0.9142300194931775,3,0.8274747474747476,3.171224308070483e-34,0.7954338862690664,9.501565535972271e-32,,,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0, ml.CRD_CAST_Admin1",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Rank
ISR,Israel,2025-05-01,2024-07-01,195.7353,11.0,0.9424083769633508,0.9507,11.0,0.9225352112676056,2024-08-01,0.9197047452054528,28.0,0.8362573099415205,0.9105968105445306,14.0,0.9181286549707602,9.707796123764584,2.0,0.9883040935672515,,,,,,,,,,,,,,11.0,0.9215267293420977,5,0.8274747474747476,3.171224308070483e-34,0.7954338862690664,9.501565535972271e-32,,,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0, ml.CRD_CAST_Admin1",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Rank
SYR,Syria,2025-05-01,2024-07-01,898.5973,1.0,0.9947643979057592,0.9954,1.0,0.9929577464788732,2024-08-01,0.945183257311568,15.0,0.9122807017543859,0.9201838865717192,10.0,0.9415204678362573,7.663737284154915,13.0,0.9239766081871346,,,,,,,,,,,,,,5.0,0.9530999844324821,5,0.8274747474747476,3.171224308070483e-34,0.7954338862690664,9.501565535972271e-32,,,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0, ml.CRD_CAST_Admin1",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Rank
IRN,"Iran, Islamic Republic of",2024-11-01,2024-07-01,3.1922,32.0,0.8324607329842932,0.0354,32.0,0.7241379310344828,2024-08-01,0.8206236194009143,16.0,0.9064327485380117,0.1867907195917509,43.0,0.7485380116959064,2.666494183381272,36.0,0.7894736842105263,2024-09-01,3.0,38.0,0.28301886792452835,0.0,37.0,0.0,1.0,57.0,0.17391304347826086,4.0,51.0,0.32894736842105265,42.0,0.5572468774832512,8,0.7205496206905431,2.404100105290587e-26,0.6972421492289936,8.898179951816156e-25,0.6999259044004918,2.0709050175167634e-21,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0, ml.CRD_CAST_Admin1",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Rank
PSE,Occupied Palestinian territory,2025-02-01,,,,,,,,2024-08-01,0.9197047452054528,28.0,0.8362573099415205,0.9105968105445306,14.0,0.9181286549707602,9.707796123764584,2.0,0.9883040935672515,2024-09-01,185.0,5.0,0.9074074074074074,990.0,3.0,0.9189189189189189,99.0,5.0,0.927536231884058,1274.0,3.0,0.9605263157894737,2.0,0.9160921027816528,6,0.661818181818182,1.7334696345968468e-22,0.6540054584335706,5.407892387756837e-22,0.7065977758027538,9.067769547614921e-22,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0, ml.CRD_CAST_Admin1",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Rank
SYR,Syria,2025-02-01,2024-07-01,745.2378,2.0,0.9895287958115183,0.9923,2.0,0.9894736842105263,2024-08-01,0.945183257311568,15.0,0.9122807017543859,0.9201838865717192,10.0,0.9415204678362573,7.663737284154915,13.0,0.9239766081871346,2024-09-01,241.0,4.0,0.9259259259259259,511.0,5.0,0.8648648648648649,170.0,3.0,0.9565217391304348,922.0,4.0,0.9473684210526316,1.0,0.9380115984651309,8,0.661818181818182,1.7334696345968468e-22,0.6540054584335706,5.407892387756837e-22,0.7065977758027538,9.067769547614921e-22,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0, ml.CRD_CAST_Admin1",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Rank
LBN,Lebanon,2024-11-01,2024-07-01,34.0882,19.0,0.9005235602094241,0.5242,19.0,0.8362068965517242,2024-08-01,0.7508537692593668,35.0,0.7953216374269005,0.6321793839916783,23.0,0.8654970760233918,4.035812030073697,26.0,0.847953216374269,2024-09-01,2.0,42.0,0.2075471698113207,710.0,4.0,0.8918918918918919,2.0,51.0,0.26086956521739135,714.0,6.0,0.9210526315789473,26.0,0.7007263766882892,8,0.7205496206905431,2.404100105290587e-26,0.6972421492289936,8.898179951816156e-25,0.6999259044004918,2.0709050175167634e-21,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0, ml.CRD_CAST_Admin1",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Rank
JOR,Jordan,2024-09-01,2024-07-01,0.0608,70.0,0.6335078534031413,0.0032,68.0,0.26881720430107525,2024-08-01,0.174422560156813,77.0,0.5497076023391814,0.0467561448706562,69.0,0.5964912280701755,0.2527530509248829,78.0,0.543859649122807,2024-09-01,1.0,45.0,0.15094339622641506,0.0,37.0,0.0,0.0,69.0,0.0,1.0,63.0,0.17105263157894735,92.0,0.3429158666828494,8,0.7454545454545456,4.304838523456892e-28,0.7235074286841572,1.4890513506343626e-26,0.6967801699986919,3.118090425232399e-21,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0, ml.CRD_CAST_Admin1",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Rank
